"","2015/2016","2015/2016","2015/2016","2016/2017","2016/2017","2016/2017","2017/2018","2017/2018","2017/2018","2018/2019","2018/2019","2018/2019","2019/2020","2019/2020","2019/2020","2020/2021","2020/2021","2020/2021","2021/2022","2021/2022","2021/2022","2022/2023","2022/2023","2022/2023","2023/2024","2023/2024","2023/2024","2024/2025","2024/2025","2024/2025"
"","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total"
"Nordre","9 (4-15)","14.8 (10-21)","23.8 (17-32)","6.5 (3-11)","12.1 (8-17)","18.6 (13-25)","3.9 (1-8)","4.6 (2-8)","8.6 (4-14)","7.4 (4-12)","11 (6-17)","18.4 (12-26)","4.6 (2-8)","13.4 (10-17)","18.1 (14-23)","10.1 (7-14)","8.7 (5-14)","18.7 (14-25)","5.1 (2-9)","7.4 (3-13)","12.5 (7-19)","11.5 (8-16)","11.1 (8-16)","22.6 (17-29)","7.6 (4-13)","7.6 (4-12)","15.2 (10-21)","5.6 (1-12)","10.8 (6-17)","16.4 (10-25)"
"Jämtland","6.6 (3-11)","11.7 (8-17)","18.3 (12-25)","5.3 (2-9)","10.2 (7-15)","15.5 (10-21)","3.3 (1-7)","4.4 (2-8)","7.6 (4-12)","5.7 (3-10)","9 (5-14)","14.7 (9-21)","4.3 (2-7)","12.4 (9-16)","16.7 (12-22)","8.8 (6-12)","7.3 (4-11)","16.1 (11-21)","4.4 (2-8)","5.4 (2-10)","9.8 (5-16)","7.5 (4-11)","7.7 (5-12)","15.1 (11-20)","5.3 (2-10)","4.5 (2-8)","9.8 (6-15)","3.3 (0-9)","6.7 (3-12)","10 (4-17)"
"Västerbotten","0 (0-1)","0 (0-1)","0.1 (0-1)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-1)"
"Västernorrland","2.5 (0-6)","3 (0-7)","5.5 (2-10)","1.2 (0-3)","1.9 (1-4)","3 (1-6)","0.6 (0-3)","0.3 (0-2)","0.9 (0-3)","1.7 (0-4)","2 (0-5)","3.7 (1-8)","0.3 (0-2)","1 (0-3)","1.3 (0-4)","1.2 (0-3)","1.4 (0-4)","2.6 (0-6)","0.7 (0-3)","1.9 (0-5)","2.6 (0-6)","4.1 (3-6)","3.4 (2-6)","7.4 (5-11)","2.2 (0-5)","3.1 (1-6)","5.3 (2-9)","2.3 (1-5)","4.1 (2-7)","6.4 (4-10)"
"Midtre","115.6 (107-126)","141.1 (130-153)","256.6 (243-272)","142.4 (136-150)","155.8 (148-164)","298.2 (288-309)","147.7 (142-154)","140.9 (136-146)","288.6 (280-297)","130.9 (121-142)","131.6 (122-143)","262.5 (249-278)","151.2 (147-156)","161 (156-166)","312.2 (305-319)","142 (134-151)","168.7 (159-180)","310.7 (298-325)","165 (156-175)","192.6 (182-204)","357.5 (344-373)","163.2 (154-173)","160.7 (153-170)","323.9 (312-337)","151.5 (142-162)","131.4 (124-140)","282.8 (270-296)","112.8 (104-124)","124.5 (115-136)","237.3 (224-253)"
"Dalarna","31.4 (26-38)","43.8 (38-50)","75.2 (67-84)","38.5 (34-43)","42.8 (38-48)","81.3 (75-88)","28.5 (25-32)","33.9 (30-39)","62.4 (57-68)","28.1 (22-35)","29.3 (23-37)","57.3 (48-67)","35.2 (31-39)","35 (31-39)","70.2 (65-76)","32.9 (28-39)","37.1 (31-44)","70 (62-79)","39.8 (35-46)","39.1 (33-46)","78.9 (70-88)","36.9 (32-43)","23 (19-28)","59.9 (53-68)","27.4 (22-34)","22.9 (19-28)","50.3 (43-58)","17.8 (13-24)","18.3 (13-25)","36.1 (29-45)"
"Gävleborg","22.1 (17-27)","22.3 (17-28)","44.4 (38-52)","25.6 (22-30)","24.7 (20-29)","50.3 (45-56)","29.8 (27-33)","25.1 (21-29)","54.9 (50-59)","21.8 (17-27)","24.1 (19-30)","45.9 (39-53)","31.9 (29-35)","37.3 (34-40)","69.2 (65-74)","30.9 (27-35)","30.1 (26-34)","61 (56-67)","28 (24-32)","23.5 (20-28)","51.5 (46-57)","18.4 (15-22)","15.4 (12-19)","33.8 (29-39)","12.9 (10-17)","7.5 (5-11)","20.4 (16-26)","9.4 (7-13)","11.9 (9-16)","21.4 (17-26)"
"Örebro","11.5 (7-16)","12.5 (8-17)","24 (18-30)","18.2 (15-22)","19.6 (16-24)","37.8 (33-43)","19 (16-22)","15.8 (13-18)","34.8 (31-39)","14.3 (10-19)","21.6 (17-26)","35.9 (30-43)","21.9 (19-25)","27.8 (24-32)","49.8 (45-55)","18.8 (14-24)","28.8 (24-34)","47.5 (41-55)","20.9 (17-26)","36 (31-41)","56.9 (50-64)","21.1 (17-25)","32.2 (28-36)","53.3 (48-59)","25.3 (21-30)","31.2 (28-35)","56.5 (51-62)","21 (18-24)","28.2 (25-32)","49.2 (44-54)"
"Stockholm","2.6 (1-5)","2.9 (1-6)","5.5 (3-9)","2.5 (2-4)","0.5 (0-2)","3 (2-5)","3 (2-5)","1.7 (0-3)","4.7 (3-7)","1.3 (0-3)","1.3 (0-3)","2.6 (0-5)","0.7 (0-2)","2.7 (1-4)","3.4 (2-5)","3.3 (1-6)","5.1 (3-8)","8.4 (5-12)","3 (1-5)","4.2 (2-7)","7.2 (4-11)","5 (3-7)","2.9 (1-5)","7.9 (5-11)","2.1 (1-4)","1.6 (1-3)","3.7 (2-6)","0.4 (0-2)","3 (2-5)","3.4 (2-6)"
"Uppsala","2.9 (1-6)","3.5 (1-7)","6.4 (3-11)","3.5 (1-6)","3.3 (1-6)","6.8 (4-10)","5.4 (4-8)","3.7 (1-6)","9.1 (6-13)","3.5 (1-6)","3.5 (1-6)","7 (4-11)","3.1 (2-5)","1.8 (1-3)","4.9 (3-7)","3.9 (2-6)","4.4 (2-7)","8.3 (6-12)","3.9 (2-6)","9.1 (8-12)","13 (10-16)","4.3 (3-6)","3.3 (1-6)","7.6 (5-11)","3.7 (2-6)","6.6 (5-9)","10.2 (8-13)","4.5 (3-6)","5.8 (5-8)","10.3 (9-13)"
