"Värmland","48.3 (41-57)","60.1 (51-71)","108.4 (96-122)","64.6 (56-75)","49.6 (41-59)","114.2 (102-128)","42.5 (38-48)","44.7 (39-52)","87.2 (79-96)","40.7 (36-46)","49.2 (43-55)","89.9 (82-98)","46.3 (42-51)","42 (38-46)","88.3 (82-94)","48 (42-55)","39.1 (33-46)","87.1 (78-96)","41.1 (37-45)","41.1 (37-45)","82.3 (77-88)","37.8 (32-44)","42.5 (36-50)","80.4 (71-90)","47.5 (41-55)","53.7 (48-60)","101.2 (92-111)","42.6 (37-49)","56 (51-62)","98.6 (91-108)"
"Västmanland","5.5 (3-9)","11.6 (7-17)","17.1 (12-23)","7.2 (5-11)","12.9 (9-18)","20.1 (15-26)","5.6 (3-9)","8.6 (6-13)","14.2 (10-19)","11.9 (10-14)","14.1 (12-17)","26 (23-30)","12 (10-14)","14.9 (12-18)","26.9 (23-31)","9.2 (6-13)","8.8 (5-13)","17.9 (13-24)","14.8 (12-18)","12.7 (9-16)","27.5 (23-32)","10.6 (7-15)","10.6 (7-15)","21.3 (16-27)","10.9 (7-15)","14.7 (11-19)","25.6 (20-32)","14.3 (11-18)","15.8 (12-20)","30.1 (25-36)"
"VästraGötaland","6.4 (3-11)","8.2 (4-14)","14.6 (9-21)","7 (4-11)","8.4 (5-13)","15.4 (11-21)","1.4 (0-4)","5.9 (3-9)","7.3 (4-11)","2 (0-4)","2.7 (1-5)","4.7 (2-8)","3.6 (1-6)","4.3 (2-7)","7.9 (5-12)","5.8 (3-9)","5.7 (3-9)","11.5 (7-16)","2.6 (1-5)","2.4 (1-4)","5.1 (2-8)","6.7 (4-10)","10.1 (7-14)","16.8 (12-22)","8.3 (5-12)","9.5 (6-13)","17.8 (13-23)","14.8 (12-18)","14.2 (11-18)","29 (25-34)"
"Södre","6.4 (2-12)","16.3 (9-25)","22.7 (14-33)","5 (1-10)","10.5 (5-17)","15.5 (9-23)","2.5 (0-6)","6.9 (3-12)","9.4 (4-15)","2.6 (1-5)","7.5 (5-11)","10.1 (7-14)","4.5 (3-7)","15.1 (14-17)","19.6 (17-23)","5.7 (3-10)","6.2 (3-10)","11.9 (7-17)","10.7 (9-13)","9.9 (8-13)","20.7 (18-24)","16.3 (13-20)","15.4 (11-20)","31.7 (26-38)","22.6 (19-27)","24 (20-29)","46.6 (41-53)","27.4 (24-32)","33 (29-38)","60.4 (55-67)"
"Blekinge","0.2 (0-1)","0.5 (0-2)","0.7 (0-3)","0.1 (0-1)","0.4 (0-2)","0.5 (0-2)","0.1 (0-1)","0.3 (0-1)","0.3 (0-2)","0 (0-1)","1.1 (1-2)","1.1 (1-2)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0 (0-0)","0.1 (0-1)","0.2 (0-1)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)"
"Halland","0.5 (0-2)","1 (0-3)","1.4 (0-4)","0.3 (0-2)","0.7 (0-3)","1 (0-3)","0.1 (0-1)","0.3 (0-2)","0.4 (0-2)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0.1 (0-1)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","1.1 (0-2)","0.2 (0-1)","1.3 (0-3)","0.1 (0-1)","0.3 (0-2)","0.5 (0-2)","1.1 (0-2)","0.3 (0-2)","1.3 (0-3)"
"Jönköping","0.8 (0-3)","3 (1-6)","3.8 (1-8)","1 (0-3)","2.3 (1-5)","3.3 (1-7)","0.4 (0-2)","1.7 (1-4)","2.1 (1-5)","0.2 (0-1)","0.5 (0-2)","0.7 (0-3)","0.2 (0-2)","0.1 (0-1)","0.4 (0-2)","0.5 (0-2)","0.4 (0-2)","0.9 (0-3)","0.2 (0-1)","1.2 (0-2)","1.4 (0-3)","0.8 (0-3)","1.6 (1-3)","2.4 (1-5)","4.6 (2-7)","3.8 (2-6)","8.3 (5-12)","4.4 (3-6)","7.3 (5-10)","11.7 (9-15)"
"Kalmar","0.7 (0-3)","1.7 (0-5)","2.4 (0-6)","0.6 (0-3)","0.9 (0-3)","1.5 (0-4)","0.3 (0-2)","0.5 (0-2)","0.8 (0-3)","0.1 (0-1)","0.2 (0-2)","0.4 (0-2)","0.1 (0-1)","0.9 (0-2)","1 (0-2)","0.3 (0-2)","1.2 (1-2)","1.5 (1-3)","0.1 (0-1)","0.3 (0-1)","0.4 (0-2)","0.2 (0-1)","1.3 (1-3)","1.5 (1-3)","0.3 (0-2)","0.4 (0-2)","0.7 (0-3)","0.4 (0-2)","0.5 (0-2)","0.8 (0-3)"
"Kronoberg","0.6 (0-3)","2.3 (0-5)","2.9 (0-6)","0.6 (0-3)","2 (0-5)","2.6 (0-6)","0.3 (0-2)","1.1 (0-3)","1.4 (0-4)","0.1 (0-1)","1.2 (1-2)","1.3 (1-3)","0.2 (0-1)","0.3 (0-1)","0.4 (0-2)","0.3 (0-2)","0.3 (0-2)","0.6 (0-2)","0.1 (0-1)","0.5 (0-2)","0.6 (0-2)","0.2 (0-1)","1.3 (1-3)","1.5 (1-3)","0.2 (0-1)","1.4 (1-3)","1.6 (1-3)","1.2 (0-3)","2.2 (1-4)","3.5 (2-6)"
"Östergötland","1.1 (0-4)","2.5 (0-6)","3.6 (0-8)","1 (0-3)","1.4 (0-4)","2.4 (0-6)","0.5 (0-2)","0.9 (0-3)","1.4 (0-4)","0.4 (0-2)","1.7 (1-4)","2 (1-4)","1.3 (1-3)","2.1 (2-3)","3.4 (3-5)","2 (1-4)","1.6 (1-3)","3.6 (2-6)","6.7 (6-8)","3.2 (3-4)","9.9 (9-12)","4.6 (4-6)","3.1 (2-5)","7.8 (6-11)","5.5 (4-7)","5.5 (4-8)","11 (9-14)","3.4 (2-5)","5.8 (5-8)","9.1 (8-12)"
"Skåne","0.7 (0-3)","2.8 (0-6)","3.6 (1-7)","0.4 (0-2)","1.5 (0-4)","1.9 (0-5)","0.3 (0-2)","0.9 (0-3)","1.2 (0-3)","0.1 (0-1)","1.2 (1-2)","1.3 (1-3)","0.1 (0-1)","1.9 (1-3)","2 (1-3)","0.3 (0-2)","0.2 (0-1)","0.5 (0-2)","0.1 (0-1)","0.1 (0-1)","0.3 (0-2)","1.2 (1-2)","1.3 (1-3)","2.6 (2-4)","2.2 (2-3)","2.3 (2-4)","4.5 (4-6)","3.4 (3-5)","5.4 (5-7)","8.8 (8-11)"
"Södermanland","1.8 (0-4)","2.5 (0-6)","4.4 (1-8)","0.8 (0-3)","1.4 (0-4)","2.2 (0-5)","0.6 (0-2)","1.2 (0-4)","1.8 (0-5)","1.6 (1-3)","1.4 (1-3)","3 (2-5)","2.5 (2-4)","9.7 (9-11)","12.2 (11-14)","2.1 (1-4)","2.3 (1-4)","4.4 (2-7)","3.5 (3-5)","4.4 (3-6)","7.9 (6-10)","8.2 (6-11)","6.4 (4-10)","14.6 (11-19)","9.5 (7-12)","10.2 (8-13)","19.7 (16-24)","13.5 (12-16)","11.5 (10-14)","24.9 (22-28)"
