"","2013/2014","2013/2014","2013/2014","2014/2015","2014/2015","2014/2015","2015/2016","2015/2016","2015/2016","2016/2017","2016/2017","2016/2017","2017/2018","2017/2018","2017/2018","2018/2019","2018/2019","2018/2019","2019/2020","2019/2020","2019/2020","2020/2021","2020/2021","2020/2021","2021/2022","2021/2022","2021/2022","2022/2023","2022/2023","2022/2023"
"","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total"
"Total","157.9 (141-179)","236.8 (206-272)","394.7 (359-434)","196.5 (180-217)","225.3 (206-248)","421.8 (396-452)","157.8 (148-170)","205.9 (194-221)","363.7 (348-382)","193.4 (188-200)","214.6 (208-222)","408 (399-418)","206 (200-213)","204.4 (200-210)","410.4 (403-419)","179.8 (169-194)","193.5 (183-207)","373.3 (358-392)","206.9 (203-213)","226.5 (222-232)","433.4 (427-441)","205 (198-214)","244.5 (234-257)","449.4 (436-465)","239.3 (232-249)","261.7 (251-274)","501 (488-516)","230.4 (217-246)","232.3 (216-253)","462.7 (441-488)"
"Norway","24.1 (18-32)","46.2 (36-58)","70.3 (58-84)","30.4 (25-37)","41.6 (34-51)","72 (62-83)","28.3 (25-32)","41.7 (38-46)","70 (65-76)","43 (38-48)","39 (34-45)","82 (75-90)","50.1 (44-56)","44.1 (39-49)","94.1 (87-102)","34 (29-39)","45.7 (42-50)","79.7 (74-86)","41 (36-47)","44.1 (40-49)","85 (78-92)","34.8 (31-39)","53.5 (48-59)","88.3 (81-96)","46.4 (39-54)","46.4 (42-51)","92.8 (84-102)","38.9 (32-48)","29.7 (24-38)","68.6 (59-80)"
"Region 2","0.2 (0-1)","2 (1-4)","2.3 (1-5)","0.1 (0-1)","0.4 (0-2)","0.5 (0-2)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0.2 (0-2)","0.6 (0-2)","0.4 (0-2)","0.4 (0-2)","0.7 (0-3)","0.8 (0-2)","0 (0-1)","0.8 (0-2)","0.4 (0-2)","0.5 (0-2)","1 (0-3)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.2 (0-1)","0.3 (0-2)","0.5 (0-2)","0.3 (0-2)","0.3 (0-2)","0.5 (0-2)"
"Region 3","1.1 (0-4)","4.1 (1-8)","5.3 (2-10)","0.8 (0-3)","2.1 (0-5)","2.9 (0-6)","0.4 (0-2)","0.2 (0-1)","0.5 (0-2)","0.5 (0-2)","0.5 (0-2)","1.1 (0-3)","0.9 (0-3)","0.8 (0-3)","1.7 (0-5)","0.5 (0-2)","0.2 (0-1)","0.7 (0-3)","0.5 (0-2)","2.2 (1-4)","2.7 (1-5)","0.3 (0-2)","0.8 (0-3)","1.1 (0-3)","0.7 (0-3)","0.9 (0-3)","1.6 (0-4)","1 (0-3)","1 (0-3)","2 (0-5)"
"Region 4","4 (2-7)","6.2 (3-10)","10.2 (6-15)","2.7 (2-4)","4.3 (2-8)","7 (4-11)","5 (4-7)","6.8 (5-9)","11.9 (9-15)","8.3 (6-11)","7.8 (6-10)","16.1 (13-20)","9.6 (7-13)","12.2 (10-15)","21.9 (18-26)","9.9 (7-13)","14 (12-16)","23.9 (20-28)","13.1 (10-16)","14.9 (12-18)","28 (24-33)","14.3 (11-17)","9.9 (7-13)","24.2 (20-29)","11.6 (8-15)","15.7 (12-19)","27.2 (23-32)","13.8 (11-17)","10.9 (8-14)","24.7 (21-29)"
"Region 5","17.5 (13-23)","30 (23-38)","47.5 (39-57)","25.8 (21-31)","32.8 (27-40)","58.7 (51-67)","22.5 (21-25)","34.3 (31-38)","56.8 (53-61)","33.4 (29-38)","29.7 (25-35)","63.1 (57-70)","38.4 (34-43)","30.1 (27-34)","68.5 (63-75)","22.6 (19-27)","30 (27-34)","52.5 (48-58)","26.4 (23-30)","24.9 (21-29)","51.3 (46-57)","20 (17-24)","41.8 (37-47)","61.9 (56-68)","33.2 (28-39)","28.3 (24-33)","61.5 (54-69)","22.3 (17-29)","16.7 (12-23)","39 (32-48)"
"Region 6","1.2 (0-4)","3.8 (1-8)","5.1 (1-10)","0.9 (0-3)","2.1 (0-5)","3 (0-7)","0.3 (0-2)","0.3 (0-2)","0.6 (0-3)","0.4 (0-2)","0.6 (0-3)","1.1 (0-4)","0.8 (0-3)","0.6 (0-2)","1.3 (0-4)","0.3 (0-2)","1.4 (1-3)","1.7 (1-4)","0.5 (0-2)","1.6 (1-3)","2.1 (1-5)","0 (0-0)","0.9 (0-3)","0.9 (0-3)","0.8 (0-3)","1.2 (1-3)","2 (1-4)","1.4 (0-4)","0.9 (0-3)","2.3 (0-6)"
"Sweden","133.8 (118-153)","190.5 (165-220)","324.4 (294-358)","166.1 (150-185)","183.7 (166-205)","349.8 (326-377)","129.5 (120-142)","164.2 (152-179)","293.7 (278-312)","150.4 (144-158)","175.6 (168-183)","326 (316-336)","156 (149-163)","160.3 (155-166)","316.3 (308-325)","145.8 (135-160)","147.8 (137-161)","293.6 (278-312)","165.9 (162-170)","182.4 (178-187)","348.4 (342-355)","170.1 (162-179)","191 (180-204)","361.2 (347-377)","192.8 (184-202)","215.4 (205-227)","408.2 (394-423)","191.5 (181-204)","202.7 (189-220)","394.1 (376-415)"
"Nordre","8.5 (4-14)","19.4 (13-27)","27.8 (19-37)","9.1 (4-15)","14.6 (9-21)","23.8 (16-33)","7.2 (3-12)","13 (9-18)","20.3 (15-27)","5.7 (2-10)","11.3 (8-15)","17 (12-23)","3.4 (1-7)","4.3 (2-8)","7.7 (4-12)","6.3 (3-11)","9.4 (5-14)","15.7 (10-22)","4.2 (2-7)","12.7 (10-16)","16.9 (13-21)","9.5 (7-13)","6.9 (4-11)","16.5 (12-21)","4.2 (1-8)","5.8 (2-10)","10 (5-15)","11.3 (8-16)","11.9 (8-17)","23.2 (18-30)"
"Jämtland","6.9 (3-12)","13.1 (8-19)","19.9 (13-28)","6.8 (3-12)","11.4 (6-17)","18.2 (11-26)","5.3 (2-9)","10.5 (7-15)","15.8 (11-22)","4.8 (2-8)","9.6 (6-14)","14.4 (10-20)","2.8 (1-6)","4.1 (2-7)","6.9 (3-11)","5 (2-9)","7.9 (4-12)","12.9 (8-18)","4 (2-7)","11.7 (9-15)","15.8 (12-20)","8.6 (6-11)","6.1 (4-10)","14.7 (11-19)","3.7 (1-7)","4.6 (2-8)","8.4 (4-13)","7.1 (4-11)","8.4 (5-13)","15.5 (11-21)"
"Västerbotten","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0 (0-1)","0 (0-1)","0.1 (0-1)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-1)"
"Västernorrland","1.6 (0-5)","6.2 (3-11)","7.8 (4-13)","2.3 (0-6)","3.2 (0-7)","5.5 (2-10)","1.9 (0-5)","2.5 (0-6)","4.4 (1-9)","0.9 (0-3)","1.7 (1-4)","2.6 (1-5)","0.6 (0-2)","0.2 (0-1)","0.7 (0-3)","1.4 (0-4)","1.5 (0-4)","2.8 (0-6)","0.2 (0-1)","0.9 (0-3)","1.1 (0-3)","0.9 (0-3)","0.8 (0-3)","1.7 (0-5)","0.4 (0-2)","1.2 (0-4)","1.7 (0-4)","4.2 (2-7)","3.4 (2-6)","7.6 (5-11)"
"Midtre","118.9 (107-134)","154.9 (135-178)","273.8 (250-301)","151.9 (139-167)","158.6 (144-175)","310.5 (291-333)","119.8 (112-130)","144.3 (134-156)","264.1 (250-279)","142.1 (136-149)","156.8 (150-164)","298.9 (289-309)","148.1 (142-154)","141 (136-146)","289.1 (281-297)","133.8 (124-146)","132.3 (123-144)","266 (252-282)","151 (147-155)","159.8 (155-165)","310.8 (304-318)","144.3 (136-153)","168.7 (159-180)","313 (300-327)","166.1 (157-175)","185.5 (176-196)","351.6 (339-365)","152.8 (144-163)","157.8 (146-172)","310.5 (295-328)"
"Dalarna","31.5 (25-39)","36 (28-46)","67.5 (57-80)","33.8 (27-41)","38.2 (30-47)","72 (61-83)","31 (25-37)","43.8 (38-50)","74.8 (66-84)","37.7 (34-42)","42.2 (38-47)","79.8 (73-87)","28.9 (25-33)","34.1 (30-39)","62.9 (57-69)","28 (22-34)","27.9 (22-35)","55.9 (47-65)","35 (31-39)","33.9 (31-37)","69 (64-74)","32.1 (27-37)","35 (29-41)","67 (59-75)","38.5 (34-44)","36.9 (31-43)","75.5 (68-84)","34.1 (29-40)","22.6 (18-29)","56.7 (50-65)"
"Gävleborg","8.9 (5-14)","16.4 (10-23)","25.3 (18-34)","12.5 (8-18)","17.3 (12-23)","29.8 (23-38)","19.4 (15-24)","21 (17-26)","40.4 (34-47)","25.5 (22-29)","25.4 (21-30)","50.9 (45-57)","29.8 (27-33)","25.6 (22-29)","55.4 (51-60)","22.3 (18-28)","24 (19-30)","46.4 (39-54)","31.8 (29-35)","37.4 (34-41)","69.2 (65-74)","31.3 (28-35)","31.2 (27-36)","62.5 (57-68)","28.2 (25-32)","23.9 (20-29)","52.2 (46-58)","19.6 (16-23)","14.8 (12-19)","34.4 (30-40)"
"Örebro","15.2 (12-19)","17.3 (13-23)","32.5 (27-39)","22.6 (17-29)","28.5 (21-37)","51.1 (42-61)","15.7 (11-22)","16.2 (11-22)","31.9 (24-40)","19 (16-23)","20.6 (17-25)","39.5 (34-45)","19.6 (17-23)","15.5 (13-18)","35.1 (31-39)","16.2 (11-22)","22.2 (18-27)","38.4 (31-46)","21.7 (19-25)","27.6 (23-32)","49.3 (44-55)","19.2 (15-24)","30.8 (26-36)","50 (43-57)","24.3 (20-30)","36.4 (31-42)","60.7 (53-69)","20.9 (17-25)","29.8 (25-35)","50.7 (44-57)"
"Stockholm","1.1 (0-3)","2.7 (0-6)","3.8 (1-8)","1.8 (1-4)","1.7 (0-4)","3.6 (1-7)","2.1 (1-4)","2 (0-4)","4.2 (2-7)","2.3 (2-4)","0.2 (0-1)","2.5 (2-4)","2.8 (2-4)","1.6 (0-3)","4.3 (3-6)","1.1 (0-3)","1 (0-3)","2.2 (0-5)","0.7 (0-1)","2.8 (1-4)","3.5 (2-5)","2.9 (1-5)","4.3 (2-7)","7.3 (4-11)","2.6 (1-5)","3.5 (2-6)","6.1 (3-9)","2.3 (1-4)","1.6 (0-4)","3.8 (1-7)"
"Uppsala","2.1 (0-5)","2.6 (0-6)","4.7 (1-9)","2.4 (1-5)","1.9 (0-5)","4.3 (1-8)","2 (1-4)","2.1 (0-5)","4.2 (2-7)","3 (1-5)","2.5 (1-5)","5.5 (3-9)","5.1 (3-7)","3 (1-6)","8.2 (5-11)","3.2 (1-6)","3.5 (1-6)","6.7 (4-10)","3.1 (2-5)","1.9 (1-3)","4.9 (3-7)","3.6 (2-6)","4.1 (2-6)","7.7 (5-10)","5.7 (4-8)","6.9 (6-9)","12.6 (10-16)","4.2 (3-6)","3 (1-6)","7.2 (5-11)"
