"","2016/2017","2016/2017","2016/2017","2017/2018","2017/2018","2017/2018","2018/2019","2018/2019","2018/2019","2019/2020","2019/2020","2019/2020","2020/2021","2020/2021","2020/2021","2021/2022","2021/2022","2021/2022","2022/2023","2022/2023","2022/2023","2023/2024","2023/2024","2023/2024","2024/2025","2024/2025","2024/2025","2025/2026","2025/2026","2025/2026"
"","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total"
"Total","201.3 (193-212)","224.1 (214-236)","425.4 (412-441)","208.5 (201-216)","207.2 (201-214)","415.7 (406-426)","176.9 (167-189)","195.4 (184-211)","372.3 (356-391)","209.4 (204-216)","230.9 (225-239)","440.3 (432-450)","207.3 (199-217)","245.6 (234-258)","452.8 (439-468)","234.4 (226-245)","277 (265-292)","511.5 (496-529)","240.3 (230-253)","247.3 (237-260)","487.7 (473-504)","223.6 (210-240)","220.7 (212-231)","444.3 (428-463)","194.5 (184-208)","204.8 (197-214)","399.3 (386-416)","215.7 (198-238)","209.6 (196-225)","425.3 (402-453)"
"Norway","46.7 (41-53)","44.2 (37-52)","90.9 (82-101)","51.4 (46-58)","45.1 (40-51)","96.6 (89-105)","34.4 (29-40)","46.6 (42-52)","81 (74-88)","42.5 (37-49)","44.9 (40-51)","87.4 (79-96)","37.7 (33-44)","53.5 (47-60)","91.2 (83-100)","46.9 (40-55)","49.9 (44-56)","96.8 (87-107)","37.6 (31-45)","28.7 (24-35)","66.3 (58-76)","30.1 (25-37)","32.3 (28-38)","62.4 (55-71)","27.4 (23-33)","21.3 (17-26)","48.8 (42-56)","32.6 (26-41)","22.7 (20-27)","55.2 (48-65)"
"Region 2","0.8 (0-3)","1 (0-3)","1.8 (0-5)","0.4 (0-2)","0.3 (0-2)","0.7 (0-3)","1.1 (0-3)","0.1 (0-1)","1.2 (0-3)","0.5 (0-2)","0.8 (0-3)","1.3 (0-4)","0.3 (0-2)","0.1 (0-1)","0.4 (0-2)","0.2 (0-2)","0.6 (0-2)","0.8 (0-3)","0.4 (0-2)","0.2 (0-2)","0.7 (0-3)","0.4 (0-2)","0.2 (0-1)","0.7 (0-3)","0.3 (0-2)","0.3 (0-2)","0.6 (0-2)","0.3 (0-2)","0.3 (0-2)","0.6 (0-2)"
"Region 3","1.3 (0-4)","1.5 (0-4)","2.8 (0-7)","0.9 (0-3)","0.8 (0-3)","1.7 (0-4)","0.5 (0-2)","0.6 (0-2)","1.1 (0-3)","0.7 (0-2)","1.3 (0-4)","2 (0-5)","0.7 (0-3)","1.1 (0-3)","1.8 (0-5)","1.1 (0-4)","1.4 (0-4)","2.5 (0-6)","1.1 (0-4)","0.7 (0-3)","1.8 (0-5)","0.8 (0-3)","0.4 (0-2)","1.2 (0-4)","0.7 (0-3)","0.4 (0-2)","1.1 (0-3)","1.1 (0-4)","0.8 (0-3)","2 (0-5)"
"Region 4","9.2 (7-12)","9 (6-12)","18.2 (14-23)","10 (7-14)","12.5 (10-16)","22.4 (18-27)","10.2 (7-14)","14.4 (12-17)","24.6 (20-29)","13 (10-17)","14.9 (12-19)","28 (23-33)","14.8 (12-18)","8.1 (5-11)","22.9 (18-28)","11 (8-15)","16.3 (13-20)","27.3 (22-32)","12.8 (10-16)","11.5 (9-14)","24.3 (21-28)","11.2 (9-15)","11.4 (9-14)","22.6 (19-27)","6.8 (5-10)","7.8 (6-10)","14.6 (11-19)","8.8 (6-12)","7.8 (6-10)","16.6 (13-21)"
"Region 5","34.4 (30-39)","30.9 (26-36)","65.3 (59-72)","39.2 (35-44)","30.6 (27-35)","69.7 (64-76)","22.3 (19-26)","29.9 (26-34)","52.2 (47-58)","27.6 (24-32)","26 (22-31)","53.5 (48-60)","21.7 (18-27)","43.1 (38-48)","64.8 (58-72)","33.5 (28-40)","30.2 (26-36)","63.6 (56-72)","22.4 (17-28)","15.8 (12-21)","38.2 (32-46)","17.3 (14-22)","20 (17-24)","37.4 (32-44)","19.1 (15-24)","12.7 (9-17)","31.9 (27-38)","21 (16-27)","13.8 (11-17)","34.8 (29-41)"
"Region 6","1 (0-3)","1.9 (0-5)","2.9 (0-7)","1.1 (0-3)","1 (0-3)","2 (0-5)","0.3 (0-2)","1.6 (1-3)","1.9 (1-4)","0.7 (0-3)","1.9 (1-4)","2.6 (1-6)","0.2 (0-2)","1.1 (0-4)","1.4 (0-4)","1 (0-3)","1.6 (1-3)","2.6 (1-5)","0.9 (0-3)","0.5 (0-2)","1.3 (0-4)","0.3 (0-2)","0.3 (0-2)","0.6 (0-3)","0.6 (0-3)","0.1 (0-1)","0.7 (0-3)","1.3 (0-4)","0 (0-1)","1.4 (0-4)"
"Sweden","154.6 (146-164)","179.9 (170-191)","334.5 (322-349)","157 (150-165)","162.1 (157-168)","319.1 (310-329)","142.5 (133-154)","148.8 (137-164)","291.3 (275-310)","166.9 (163-172)","186 (180-192)","352.9 (346-361)","169.6 (162-179)","192.1 (180-205)","361.7 (348-377)","187.6 (179-197)","227.1 (215-241)","414.7 (399-432)","202.7 (194-213)","218.6 (210-229)","421.4 (409-436)","193.5 (181-208)","188.4 (180-199)","381.9 (366-398)","167 (157-179)","183.5 (176-192)","350.5 (337-365)","183.1 (168-202)","187 (174-202)","370.1 (350-394)"
"Nordre","6.6 (3-11)","13.1 (9-18)","19.7 (14-26)","3.8 (1-7)","5 (2-9)","8.8 (5-14)","6.8 (3-11)","10.6 (6-16)","17.4 (11-24)","3.9 (2-7)","13.2 (10-17)","17.1 (13-21)","10.1 (7-14)","8.1 (5-12)","18.2 (13-24)","4.9 (2-9)","7.2 (3-12)","12.1 (7-18)","11.1 (8-15)","11 (8-16)","22 (17-28)","7.9 (4-13)","7.3 (4-11)","15.2 (10-21)","5.6 (2-11)","6.9 (4-10)","12.5 (7-18)","9.7 (4-17)","6.1 (3-11)","15.8 (9-24)"
"Jämtland","5.3 (2-9)","10.8 (7-16)","16.1 (11-22)","3.1 (1-6)","4.6 (2-8)","7.7 (4-12)","5.1 (2-9)","8.6 (5-13)","13.8 (9-20)","3.5 (1-6)","11.9 (9-15)","15.4 (11-20)","8.9 (6-12)","6.8 (4-11)","15.7 (11-21)","4.3 (2-8)","5.2 (2-10)","9.5 (5-15)","7.1 (4-11)","7.6 (5-11)","14.7 (10-20)","5.6 (2-10)","4.3 (2-7)","9.9 (6-15)","2.9 (0-7)","3.6 (2-6)","6.5 (3-11)","5.4 (1-11)","3.4 (1-7)","8.7 (3-15)"
