"","2013/2014","2013/2014","2013/2014","2014/2015","2014/2015","2014/2015","2015/2016","2015/2016","2015/2016","2016/2017","2016/2017","2016/2017","2017/2018","2017/2018","2017/2018","2018/2019","2018/2019","2018/2019","2019/2020","2019/2020","2019/2020","2020/2021","2020/2021","2020/2021","2021/2022","2021/2022","2021/2022"
"","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total"
"Jämtland","6.6 (3-12)","12.3 (7-19)","19 (12-28)","6.4 (2-11)","11.3 (6-17)","17.7 (11-25)","4.9 (2-9)","10.3 (7-15)","15.2 (10-21)","4.9 (2-8)","9.8 (6-14)","14.7 (10-20)","2.9 (1-6)","4.3 (2-7)","7.2 (4-12)","5.2 (2-9)","8 (5-12)","13.2 (9-19)","3.9 (2-6)","11.7 (9-15)","15.6 (12-20)","9.2 (6-13)","5.8 (3-9)","15 (11-20)","5 (2-9)","4.2 (1-8)","9.1 (5-15)"
"Västerbotten","0 (0-1)","0 (0-1)","0.1 (0-1)","0 (0-1)","0 (0-1)","0.1 (0-1)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-1)"
"Västernorrland","1.5 (0-4)","5.8 (3-10)","7.3 (4-12)","2.1 (0-5)","3.2 (0-7)","5.3 (2-10)","1.8 (0-5)","2.3 (0-6)","4.2 (1-8)","0.9 (0-3)","1.6 (1-3)","2.5 (1-5)","0.5 (0-2)","0.2 (0-1)","0.7 (0-3)","1.3 (0-4)","1.3 (0-4)","2.6 (0-6)","0.1 (0-1)","0.8 (0-3)","0.9 (0-3)","1 (0-3)","0.7 (0-3)","1.7 (0-5)","0.6 (0-2)","1.3 (0-4)","1.9 (0-5)"
"Midtre","119.3 (107-134)","150.9 (131-182)","270.3 (246-307)","151.6 (139-168)","158.7 (144-177)","310.3 (289-334)","119.2 (111-129)","143.3 (133-155)","262.5 (249-278)","142.4 (136-149)","156.1 (149-164)","298.5 (289-308)","147.6 (142-154)","141 (136-146)","288.6 (281-297)","133.3 (124-144)","131.7 (122-143)","265.1 (251-280)","151.3 (147-156)","159.9 (155-165)","311.1 (305-318)","141.2 (133-150)","167.4 (158-178)","308.7 (296-322)","159.1 (150-169)","184.6 (174-197)","343.7 (329-359)"
"Örebro","14.9 (12-19)","17.5 (13-23)","32.5 (27-39)","22.2 (16-28)","28.4 (21-36)","50.6 (41-61)","14.4 (10-20)","15.5 (10-21)","29.9 (23-38)","19.5 (16-23)","20.2 (16-24)","39.6 (35-45)","19.7 (17-23)","15.8 (13-19)","35.5 (31-40)","16.8 (12-22)","22.8 (19-28)","39.6 (33-47)","22.2 (19-25)","27.9 (24-32)","50 (45-55)","18 (14-23)","29.4 (25-35)","47.5 (41-55)","23 (19-28)","36.1 (31-42)","59.1 (52-66)"
"Dalarna","31.8 (26-39)","34.9 (27-46)","66.7 (56-80)","33.7 (27-41)","38.7 (31-48)","72.4 (62-84)","31.4 (26-38)","44 (38-50)","75.4 (67-85)","38.1 (34-43)","42.8 (38-48)","80.9 (74-88)","29.2 (26-33)","34.4 (30-39)","63.6 (58-70)","28.7 (23-35)","28.7 (22-36)","57.4 (49-67)","34.6 (31-38)","33.9 (31-37)","68.5 (64-74)","31.9 (27-37)","34.7 (29-41)","66.6 (59-75)","37.1 (32-43)","37.7 (32-45)","74.8 (67-83)"
"Gävleborg","8.6 (5-13)","15.3 (10-23)","23.9 (17-32)","12 (8-17)","16.8 (12-23)","28.8 (22-37)","19 (15-23)","20.3 (16-25)","39.3 (33-46)","25.1 (21-29)","25.2 (21-29)","50.4 (45-56)","29.5 (27-32)","25.2 (22-29)","54.7 (50-59)","22.1 (17-27)","23.7 (19-29)","45.8 (39-53)","32.1 (29-35)","37.4 (35-41)","69.6 (65-74)","31.1 (28-35)","31.2 (27-36)","62.3 (57-68)","25.9 (22-30)","25.5 (22-30)","51.4 (46-57)"
"Stockholm","0.9 (0-3)","2.4 (0-6)","3.4 (0-7)","1.8 (1-4)","1.7 (0-4)","3.5 (1-6)","2.1 (1-4)","2 (0-4)","4.1 (2-6)","2.3 (2-4)","0.2 (0-1)","2.5 (2-4)","2.8 (2-4)","1.5 (0-3)","4.3 (2-6)","1 (0-3)","1.1 (0-3)","2.1 (0-5)","0.6 (0-1)","2.7 (1-4)","3.4 (1-5)","2.9 (1-5)","4.3 (2-7)","7.2 (4-11)","2.9 (1-5)","2.3 (1-4)","5.2 (3-8)"
"Uppsala","1.9 (0-5)","2.3 (0-6)","4.2 (1-9)","2.4 (1-5)","1.8 (0-5)","4.2 (1-8)","2 (1-4)","2.1 (0-5)","4.1 (1-7)","3 (1-5)","2.4 (0-5)","5.4 (3-9)","5.3 (4-7)","3.2 (1-6)","8.4 (6-12)","3.1 (1-5)","3.4 (1-6)","6.5 (4-10)","3 (2-5)","1.8 (1-3)","4.8 (3-7)","3.5 (2-5)","3.9 (2-6)","7.4 (5-10)","5.4 (4-7)","6.6 (6-9)","12 (10-15)"
"Värmland","49.5 (42-58)","59.5 (50-72)","109 (97-124)","65.3 (56-75)","50.2 (42-59)","115.5 (103-129)","43.2 (38-49)","45.1 (39-52)","88.3 (80-97)","40.6 (36-46)","48.4 (43-54)","89 (81-97)","46.1 (41-51)","41.8 (38-46)","87.9 (82-94)","47.8 (42-54)","37.9 (32-44)","85.7 (77-95)","41.5 (38-45)","40.9 (37-45)","82.4 (77-88)","37.4 (32-43)","43.4 (37-51)","80.8 (72-90)","47.4 (41-54)","54.1 (48-60)","101.6 (93-111)"
