"","Females","Males","Total"
"Region 2","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)"
"Region 3","0.3 (0-2)","1.8 (1-4)","2.1 (1-5)"
"Region 4","0 (0-0)","0.1 (0-1)","0.1 (0-1)"
"Region 5","19.6 (15-24)","25.3 (20-31)","45 (38-52)"
"Region 6","6.8 (4-10)","16.8 (13-21)","23.6 (18-29)"
"Region 7","0.2 (0-1)","4.4 (2-8)","4.7 (2-8)"
"Region 8","26.4 (19-34)","24.1 (17-31)","50.5 (41-60)"
"Total","53.4 (44-64)","72.7 (62-84)","126.1 (111-142)"
