"","Females","Males","Total"
"Total","648.1 (613-685)","428.8 (413-446)","1076.9 (1040-1118)"
"Norway","227.7 (209-249)","147 (136-160)","374.7 (352-400)"
"Region 1","7.9 (3-14)","8 (5-12)","16 (10-23)"
"Region 2","6.4 (3-11)","7.7 (5-11)","14 (9-20)"
"Region 3","18.5 (15-24)","8.4 (6-11)","26.9 (22-33)"
"Region 4","1.3 (0-4)","1.6 (0-4)","2.8 (1-6)"
"Region 5","32.5 (26-39)","33.5 (30-38)","66 (59-74)"
"Region 6","52.4 (43-62)","32.3 (27-39)","84.7 (74-98)"
"Region 7","51.8 (46-58)","28.8 (25-33)","80.6 (74-88)"
"Region 8","56.9 (51-65)","26.8 (23-31)","83.7 (76-93)"
"Sweden","420.4 (395-448)","281.8 (271-293)","702.2 (675-731)"
"Nordre","359.9 (338-385)","228.4 (219-239)","588.4 (564-615)"
"Jämtland","131.6 (120-146)","77.7 (72-84)","209.3 (195-226)"
"Norrbotten","125.5 (114-139)","69.1 (63-76)","194.6 (181-210)"
"Västerbotten","85.1 (74-97)","52.9 (49-58)","138 (126-151)"
"Västernorrland","17.7 (13-24)","28.8 (25-33)","46.5 (40-54)"
"Midtre","60.2 (52-70)","53.3 (48-59)","113.5 (103-124)"
"Dalarna","29.1 (24-35)","23.4 (21-27)","52.5 (47-59)"
"Gävleborg","18.3 (15-23)","20.9 (18-24)","39.1 (34-44)"
"Örebro","2.5 (1-5)","1.2 (0-3)","3.8 (1-7)"
"Stockholm","0.1 (0-1)","0 (0-1)","0.1 (0-1)"
"Uppsala","1.4 (0-4)","1.3 (0-3)","2.7 (0-6)"
"Värmland","7.3 (4-12)","5.8 (3-9)","13.1 (8-18)"
"Västmanland","0.9 (0-3)","0.4 (0-2)","1.2 (0-4)"
"VästraGötaland","0.6 (0-3)","0.3 (0-2)","0.9 (0-3)"
"SÃ¸ndre","0.2 (0-1)","0.1 (0-1)","0.3 (0-2)"
"Östergötland","0.1 (0-1)","0 (0-1)","0.2 (0-1)"
"Södermanland","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)"
