"","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Region 2","0.2 (0-1)","0.2 (0-1)","0.1 (0-1)","0.2 (0-1)","0.1 (0-1)","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.5 (0-2)"
"Region 3","1.8 (0-4)","3.5 (1-6)","4.3 (2-7)","2.2 (0-5)","1.6 (0-4)","2.2 (0-5)","0.8 (0-3)","0.5 (0-2)","1.8 (1-4)","1.6 (0-4)"
"Region 4","0.2 (0-1)","0.2 (0-1)","0 (0-1)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0 (0-0)","0.1 (0-1)","0 (0-0)","0 (0-0)"
"Region 5","25.9 (21-32)","22 (16-28)","22.3 (18-28)","29.6 (24-36)","28.2 (22-35)","33.2 (26-41)","39 (33-45)","38.9 (33-45)","41.9 (35-49)","50.7 (44-58)"
"Region 6","25 (20-30)","23 (18-29)","25.1 (20-31)","30 (25-36)","32.1 (26-39)","30.4 (26-35)","26.5 (23-31)","23.1 (20-27)","26.8 (22-31)","26.7 (20-34)"
"Region 7","10 (8-13)","5.9 (3-9)","3.1 (1-6)","3.4 (1-6)","4 (2-7)","5.6 (4-8)","3.4 (3-5)","3.3 (2-6)","4.2 (2-7)","6.2 (3-11)"
"Region 8","43.9 (36-52)","41.2 (33-50)","38.4 (30-47)","45 (36-55)","48.8 (40-59)","52.3 (44-61)","41.8 (34-50)","42.4 (35-50)","46.9 (38-56)","52.5 (43-63)"
"TOTAL","107 (96-119)","95.9 (84-109)","93.5 (82-105)","110.5 (97-124)","115 (101-130)","123.9 (112-137)","111.5 (101-123)","108.4 (98-119)","121.6 (108-135)","138.1 (123-154)"
