"","Females","Males","Total"
"Region 2","0.1 (0-1)","0.4 (0-2)","0.5 (0-2)"
"Region 3","0.4 (0-2)","1.2 (0-3)","1.6 (0-4)"
"Region 4","0 (0-0)","0 (0-0)","0 (0-0)"
"Region 5","22.1 (18-27)","28.5 (24-34)","50.7 (44-58)"
"Region 6","10.2 (8-13)","16.5 (11-23)","26.7 (20-34)"
"Region 7","0.9 (0-3)","5.4 (2-10)","6.2 (3-11)"
"Region 8","24.5 (18-32)","28 (20-36)","52.5 (43-63)"
"Total","58.1 (49-68)","80 (68-93)","138.1 (123-154)"
