"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Region 2","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-2)"
"Region 3","5.5 (4-8)","2.8 (1-5)","1.4 (0-4)","2.3 (0-5)","3.3 (1-6)","1.7 (0-4)","1 (0-3)","1.7 (0-4)","0.9 (0-3)","1 (0-3)"
"Region 4","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0 (0-1)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0 (0-1)","0 (0-1)"
"Region 5","22 (18-27)","24.9 (21-29)","27.4 (22-33)","23 (17-29)","23.4 (18-29)","31.4 (25-39)","28.3 (23-34)","33.3 (26-40)","39 (33-45)","37.6 (32-44)"
"Region 6","25.6 (21-31)","27.1 (22-31)","25.3 (20-31)","21.8 (17-27)","24.9 (20-30)","30.2 (25-36)","31.1 (26-37)","29.5 (26-34)","26.8 (23-31)","23.6 (20-28)"
"Region 7","6.1 (4-9)","7.6 (6-10)","9.3 (7-12)","5 (2-8)","2.3 (1-5)","1.1 (0-3)","2 (0-4)","4.3 (3-6)","3.5 (3-5)","2.9 (2-6)"
"Region 8","37.2 (29-46)","41.8 (34-51)","48.5 (40-57)","40 (32-48)","35.1 (27-43)","40.4 (32-50)","45 (37-53)","52.1 (44-61)","42.1 (35-50)","43.9 (36-52)"
"TOTAL","96.9 (86-108)","104.5 (94-117)","112.2 (102-124)","92.3 (80-105)","89.2 (78-101)","105 (93-118)","107.5 (95-119)","121.1 (109-133)","112.3 (101-123)","109.3 (98-121)"
