"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Region 2","0.3 (0-2)","0.2 (0-1)","0.3 (0-2)","0.3 (0-2)","0.2 (0-2)","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.4 (0-2)","0.4 (0-2)"
"Region 3","4.3 (1-8)","4.4 (2-7)","2.2 (0-5)","1.4 (0-4)","2 (0-4)","0.7 (0-2)","0.4 (0-2)","1.5 (1-3)","1.2 (0-3)","1.7 (0-4)"
"Region 4","0.2 (0-1)","0 (0-1)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0 (0-1)","0.1 (0-1)","0 (0-1)","0.1 (0-1)","0.2 (0-1)"
"Region 5","22.8 (16-30)","24.5 (20-30)","32.4 (26-39)","32 (25-40)","34.9 (28-42)","42.6 (37-49)","42.5 (36-49)","45.1 (39-52)","57.5 (51-64)","60.8 (54-68)"
"Region 6","26.3 (20-33)","28 (23-34)","32.2 (27-38)","36.1 (30-43)","32 (28-37)","27.9 (24-32)","25.7 (22-29)","27.6 (24-32)","26.4 (21-33)","32.2 (26-39)"
"Region 7","8.1 (4-13)","4.4 (2-8)","3.5 (2-6)","4.3 (2-7)","5.8 (4-8)","3.4 (3-5)","2.4 (1-5)","3.7 (2-6)","4.3 (1-8)","6 (3-10)"
"Region 8","44.4 (36-53)","40.4 (32-49)","43.8 (35-53)","51.2 (42-61)","54.8 (47-63)","49.5 (42-57)","49.6 (42-57)","52.3 (44-61)","61.7 (52-72)","71.2 (60-83)"
"TOTAL","106.5 (92-122)","101.9 (90-115)","114.5 (101-129)","125.4 (111-141)","129.8 (118-142)","124.2 (113-136)","120.8 (110-132)","130.4 (118-143)","151.6 (138-166)","172.4 (156-190)"
