"","2014/2015","2014/2015","2014/2015","2015/2016","2015/2016","2015/2016","2016/2017","2016/2017","2016/2017","2017/2018","2017/2018","2017/2018","2018/2019","2018/2019","2018/2019","2019/2020","2019/2020","2019/2020","2020/2021","2020/2021","2020/2021","2021/2022","2021/2022","2021/2022","2022/2023","2022/2023","2022/2023","2023/2024","2023/2024","2023/2024"
"","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total","Females","Males","Total"
"Total","218.2 (191-250)","252.7 (227-283)","471 (432-515)","160.1 (149-175)","212.5 (198-229)","372.6 (354-394)","195.5 (189-204)","216.3 (209-225)","411.8 (402-423)","208.2 (201-217)","205.8 (200-212)","413.9 (405-424)","181.7 (170-197)","196.6 (185-212)","378.3 (361-399)","208.3 (203-215)","228.4 (223-235)","436.7 (429-446)","206.3 (198-217)","248.7 (237-263)","455 (440-472)","242.3 (233-253)","267.2 (255-282)","509.5 (494-527)","246.5 (236-259)","236.1 (227-247)","482.6 (469-499)","224.6 (205-249)","214.9 (201-232)","439.5 (414-470)"
"Norway","34.6 (28-43)","48 (38-59)","82.7 (71-97)","29 (26-33)","43.3 (39-48)","72.3 (67-79)","42.9 (38-48)","39.6 (34-46)","82.5 (75-91)","50.6 (45-57)","44.8 (40-50)","95.4 (87-104)","33.9 (29-39)","46.1 (42-50)","80 (74-87)","41.5 (36-47)","44.8 (40-51)","86.4 (79-94)","35.4 (31-40)","53.6 (48-60)","89 (82-97)","45.3 (38-53)","45.5 (41-51)","90.8 (82-100)","36.9 (31-44)","27.3 (23-33)","64.2 (57-73)","28.6 (24-35)","35 (29-42)","63.6 (56-73)"
"Region 2","0.4 (0-2)","0.9 (0-3)","1.3 (0-4)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0.4 (0-2)","0.3 (0-2)","0.8 (0-3)","0.4 (0-2)","0.4 (0-2)","0.8 (0-3)","0.9 (0-2)","0 (0-1)","0.9 (0-2)","0.7 (0-3)","0.7 (0-2)","1.3 (0-4)","0.2 (0-1)","0.1 (0-1)","0.3 (0-2)","0.3 (0-2)","0.3 (0-2)","0.6 (0-2)","0.6 (0-2)","0.2 (0-1)","0.8 (0-3)","0.2 (0-1)","0.4 (0-2)","0.6 (0-3)"
"Region 3","1.5 (0-4)","3.3 (1-7)","4.9 (1-9)","0.4 (0-2)","0.3 (0-2)","0.7 (0-3)","0.7 (0-2)","0.7 (0-3)","1.3 (0-4)","1.1 (0-3)","0.9 (0-3)","2 (0-5)","0.6 (0-3)","0.3 (0-2)","1 (0-3)","0.8 (0-3)","2.3 (1-4)","3.1 (1-6)","0.4 (0-2)","0.9 (0-3)","1.3 (0-4)","1.2 (0-4)","1 (0-3)","2.2 (0-5)","1.6 (0-4)","0.7 (0-3)","2.3 (0-6)","0.8 (0-3)","0.8 (0-3)","1.5 (0-5)"
"Region 4","3.6 (2-6)","6.3 (3-11)","9.9 (6-15)","5.1 (4-7)","7.4 (5-10)","12.4 (10-16)","8.3 (6-11)","8.2 (6-11)","16.4 (13-20)","9.6 (7-13)","12.4 (10-15)","22 (18-26)","10.1 (7-14)","14 (12-16)","24.1 (20-28)","12.6 (10-16)","14.8 (12-18)","27.4 (23-32)","14.5 (12-17)","9.2 (6-12)","23.7 (19-28)","10.8 (8-14)","15.2 (12-18)","26 (21-31)","12.6 (10-16)","11.3 (9-14)","23.9 (20-28)","9.4 (8-12)","11.2 (9-14)","20.7 (17-24)"
"Region 5","26.7 (22-32)","33.3 (27-40)","60 (52-69)","22.9 (21-26)","34.9 (31-39)","57.8 (54-63)","32.9 (29-37)","29.6 (25-34)","62.4 (57-69)","38.5 (34-44)","30.4 (27-34)","68.9 (63-75)","21.8 (18-26)","30.1 (27-34)","51.9 (47-57)","26.7 (23-31)","25.3 (22-30)","52 (47-58)","20.2 (17-24)","42.3 (37-47)","62.5 (56-69)","31.9 (26-38)","27.7 (24-32)","59.6 (53-67)","20.9 (17-26)","14.8 (12-19)","35.7 (30-42)","16.3 (13-21)","21.8 (18-27)","38.1 (33-45)"
"Region 6","2.4 (0-6)","4.2 (1-9)","6.6 (2-13)","0.5 (0-2)","0.5 (0-2)","1 (0-3)","0.7 (0-3)","0.8 (0-3)","1.5 (0-4)","1 (0-3)","0.8 (0-3)","1.8 (0-5)","0.4 (0-2)","1.6 (1-4)","2 (1-5)","0.8 (0-3)","1.8 (1-4)","2.6 (1-6)","0.1 (0-1)","1.2 (0-4)","1.2 (0-4)","1.1 (0-4)","1.3 (1-3)","2.5 (1-5)","1.1 (0-4)","0.4 (0-2)","1.5 (0-5)","1.8 (1-4)","0.8 (0-3)","2.7 (1-6)"
"Sweden","183.6 (160-211)","204.7 (182-231)","388.3 (355-426)","131.1 (120-145)","169.2 (155-186)","300.3 (282-322)","152.6 (146-161)","176.7 (169-185)","329.3 (318-341)","157.5 (150-166)","161 (156-167)","318.5 (309-329)","147.8 (136-162)","150.5 (139-165)","298.4 (281-319)","166.8 (162-172)","183.6 (179-189)","350.4 (344-358)","170.9 (162-181)","195.1 (183-210)","366 (351-383)","197 (187-208)","221.7 (210-236)","418.7 (403-436)","209.7 (201-220)","208.8 (201-218)","418.4 (406-432)","195.9 (178-218)","179.9 (167-195)","375.8 (353-403)"
"Nordre","14.8 (8-24)","19.4 (12-29)","34.2 (23-47)","8.8 (4-15)","14.6 (10-20)","23.3 (16-31)","6.5 (3-11)","11.8 (8-16)","18.2 (13-24)","4 (1-8)","4.7 (2-8)","8.6 (4-14)","7.8 (4-13)","11 (6-17)","18.8 (12-26)","4.4 (2-7)","13.1 (10-17)","17.4 (13-22)","10.2 (7-14)","8.4 (5-13)","18.6 (14-25)","5.2 (2-9)","7.6 (3-13)","12.8 (7-19)","12.1 (8-17)","10.8 (7-15)","22.9 (17-29)","12.8 (7-21)","9.7 (5-16)","22.4 (14-32)"
"Jämtland","10.8 (5-18)","14.7 (8-22)","25.5 (17-36)","6.4 (2-12)","11.7 (8-17)","18.2 (12-25)","5.3 (2-9)","10 (6-14)","15.3 (10-21)","3.3 (1-7)","4.4 (2-8)","7.7 (4-13)","6 (3-10)","9 (5-14)","15 (9-21)","4.1 (2-7)","12.1 (9-16)","16.2 (12-21)","8.9 (6-12)","7.1 (4-11)","15.9 (11-21)","4.5 (2-8)","5.7 (2-10)","10.3 (6-16)","7.7 (4-12)","7.5 (5-11)","15.2 (11-21)","9.3 (4-16)","6.2 (3-11)","15.5 (9-23)"
"Västerbotten","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0 (0-1)","0 (0-1)","0.1 (0-1)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-0)","0 (0-0)","0 (0-1)","0 (0-1)","0 (0-0)","0 (0-1)"
"Västernorrland","3.9 (1-8)","4.7 (1-9)","8.6 (3-15)","2.3 (0-6)","2.8 (0-6)","5.1 (1-10)","1.1 (0-3)","1.8 (1-4)","2.9 (1-6)","0.6 (0-3)","0.3 (0-2)","0.9 (0-3)","1.8 (0-5)","2 (0-5)","3.8 (1-8)","0.2 (0-1)","1 (0-3)","1.2 (0-4)","1.3 (0-4)","1.4 (0-4)","2.6 (0-6)","0.7 (0-3)","1.8 (0-5)","2.5 (0-6)","4.4 (3-7)","3.2 (2-6)","7.7 (5-11)","3.5 (0-8)","3.4 (1-7)","6.9 (3-12)"
"Midtre","156.3 (139-176)","163.3 (147-183)","319.6 (296-347)","118.7 (110-129)","144.1 (134-156)","262.8 (249-278)","142.5 (136-150)","156.1 (149-164)","298.6 (289-309)","148.1 (142-155)","140.9 (136-146)","289 (281-298)","133.3 (123-145)","132.1 (122-143)","265.3 (251-282)","151.3 (147-156)","160.1 (155-165)","311.4 (305-319)","143.3 (135-153)","170.3 (160-182)","313.6 (300-328)","168.1 (159-178)","188.3 (179-199)","356.4 (343-371)","164 (156-173)","157.7 (150-166)","321.7 (311-334)","150.7 (137-167)","131 (121-143)","281.7 (264-302)"
