"Dalarna","39 (31-49)","38.5 (30-48)","77.5 (66-90)","32.8 (27-40)","45.4 (39-52)","78.2 (70-88)","38.7 (34-44)","42.6 (38-48)","81.3 (75-88)","29.1 (26-33)","34 (30-39)","63.1 (57-69)","29.3 (23-36)","29 (23-36)","58.3 (49-68)","35 (31-39)","34.6 (31-38)","69.7 (65-75)","33.9 (29-40)","37.2 (31-44)","71.1 (63-80)","39.5 (34-45)","39.4 (33-47)","78.9 (71-88)","37.1 (31-44)","23.1 (19-28)","60.1 (53-68)","31.3 (24-40)","25 (20-32)","56.2 (47-67)"
"Gävleborg","15.2 (10-22)","17.9 (12-24)","33 (25-42)","20.9 (17-26)","21.7 (17-27)","42.6 (36-50)","25.4 (22-29)","24.4 (20-29)","49.8 (44-56)","29.6 (27-32)","24.6 (21-28)","54.2 (49-59)","21.9 (17-27)","23.6 (19-29)","45.5 (39-53)","32.1 (29-35)","37.3 (34-40)","69.4 (65-74)","31 (27-35)","29.8 (26-34)","60.8 (56-66)","28.1 (24-32)","22.3 (19-26)","50.4 (45-56)","19.6 (16-23)","14.1 (11-17)","33.7 (29-38)","14 (10-19)","7.4 (4-11)","21.4 (16-28)"
"Örebro","22.7 (17-30)","23.5 (18-29)","46.2 (38-55)","12.4 (8-17)","13.3 (9-18)","25.7 (20-32)","18.5 (15-22)","19.6 (16-24)","38.1 (33-43)","19.2 (16-22)","15.8 (13-18)","35 (31-39)","15.4 (11-21)","22.9 (18-28)","38.3 (31-46)","22 (19-25)","27.9 (24-32)","49.9 (44-55)","19.1 (15-24)","30.1 (25-36)","49.2 (42-57)","23.1 (19-28)","35.1 (30-40)","58.1 (51-65)","22.8 (19-27)","30.8 (27-35)","53.6 (48-60)","26.4 (22-32)","29.3 (26-33)","55.7 (50-62)"
"Stockholm","3 (1-6)","3.5 (1-7)","6.5 (3-11)","2.4 (1-4)","2.6 (1-5)","4.9 (2-8)","2.4 (2-4)","0.4 (0-2)","2.8 (2-5)","3 (2-5)","1.7 (0-3)","4.7 (3-7)","1.3 (0-3)","1.3 (0-3)","2.6 (0-5)","0.7 (0-2)","2.7 (1-4)","3.4 (2-5)","3.2 (1-6)","5 (3-7)","8.3 (5-12)","2.9 (1-5)","4.2 (2-7)","7 (4-10)","4.8 (2-7)","2.9 (1-5)","7.7 (4-11)","2.1 (1-4)","2.3 (2-4)","4.5 (3-7)"
"Uppsala","3.8 (1-7)","3.9 (1-8)","7.7 (3-13)","2.5 (1-5)","3 (0-6)","5.5 (2-10)","3.3 (1-6)","3.3 (1-6)","6.6 (4-10)","5.3 (3-8)","4 (2-7)","9.3 (6-13)","3.6 (1-7)","3.6 (1-6)","7.2 (4-11)","3 (2-5)","1.9 (1-3)","4.9 (3-7)","3.9 (2-6)","4.4 (2-7)","8.3 (6-12)","5.9 (4-8)","7.1 (6-9)","13 (10-16)","4.3 (3-6)","3.3 (1-6)","7.6 (5-11)","3.8 (2-6)","5.6 (4-7)","9.4 (7-12)"
"Värmland","54.4 (47-63)","49.4 (41-59)","103.8 (92-117)","40.2 (36-45)","42.8 (37-49)","83 (75-91)","40.1 (36-45)","48.2 (43-54)","88.3 (81-96)","46.1 (41-51)","41.8 (38-46)","87.9 (82-94)","47.2 (41-54)","37.4 (32-44)","84.6 (76-94)","41.5 (38-45)","40.7 (37-45)","82.1 (77-88)","36.3 (31-42)","43 (36-51)","79.3 (70-89)","50.8 (43-58)","55.4 (49-62)","106.2 (96-116)","46 (40-52)","54 (49-59)","100 (92-108)","34.2 (29-41)","33 (28-39)","67.3 (60-76)"
"Västmanland","8.5 (5-13)","13.5 (9-19)","22 (16-28)","5.8 (3-9)","8.5 (6-12)","14.3 (10-19)","11.7 (10-14)","14.3 (12-17)","26.1 (23-30)","11.7 (10-14)","14.6 (12-17)","26.3 (23-30)","8.3 (5-12)","7.6 (5-11)","15.9 (12-21)","14.3 (11-17)","12.3 (9-16)","26.6 (22-31)","8.6 (5-12)","9.8 (6-14)","18.4 (14-24)","9 (6-12)","14.3 (10-19)","23.4 (18-29)","13.3 (11-16)","14 (12-17)","27.3 (23-32)","11.8 (9-15)","11.2 (9-14)","23 (20-27)"
"VästraGötaland","9.8 (6-15)","13.1 (8-19)","22.9 (16-31)","1.7 (0-4)","6.9 (4-11)","8.6 (5-13)","2.3 (0-5)","3.2 (1-6)","5.5 (2-10)","4.1 (1-7)","4.5 (2-7)","8.6 (5-13)","6.3 (3-10)","6.7 (4-10)","13 (8-18)","2.7 (0-5)","2.6 (1-5)","5.3 (3-8)","7.3 (4-11)","11.1 (7-15)","18.3 (13-24)","8.9 (5-13)","10.5 (7-15)","19.3 (14-25)","16.1 (13-20)","15.6 (12-19)","31.7 (27-37)","27 (24-31)","17.2 (14-21)","44.2 (39-49)"
"Södre","12.5 (5-21)","21.9 (13-32)","34.4 (23-48)","3.6 (0-9)","10.6 (5-18)","14.2 (7-23)","3.7 (1-7)","8.8 (6-13)","12.5 (8-18)","5.5 (3-9)","15.4 (14-18)","20.9 (18-25)","6.8 (3-12)","7.4 (4-12)","14.2 (9-21)","11.1 (9-14)","10.5 (8-13)","21.6 (18-26)","17.4 (14-22)","16.4 (12-22)","33.8 (27-41)","23.7 (19-29)","25.9 (21-32)","49.6 (43-57)","33.5 (30-38)","40.3 (37-45)","73.8 (68-80)","32.5 (28-38)","39.2 (35-44)","71.7 (66-79)"
"Blekinge","0.4 (0-2)","0.9 (0-3)","1.3 (0-4)","0.1 (0-1)","0.4 (0-2)","0.5 (0-2)","0.1 (0-1)","1.1 (1-2)","1.2 (1-2)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0 (0-1)","0.2 (0-1)","0.2 (0-1)","0.1 (0-1)","0.1 (0-1)","0.2 (0-1)","0.1 (0-1)","0.2 (0-1)","0.3 (0-2)","0 (0-1)","0 (0-1)","0.1 (0-1)","0.1 (0-1)","0.1 (0-1)","0.3 (0-2)"
"Halland","0.9 (0-3)","1.7 (0-5)","2.6 (0-6)","0.1 (0-1)","0.5 (0-2)","0.6 (0-3)","0.1 (0-1)","0.2 (0-1)","0.4 (0-2)","0.1 (0-1)","0 (0-1)","0.2 (0-1)","0.2 (0-1)","0.3 (0-2)","0.5 (0-2)","0.1 (0-1)","0.1 (0-1)","0.3 (0-2)","1.2 (0-2)","0.4 (0-2)","1.6 (1-3)","0.2 (0-1)","0.5 (0-2)","0.8 (0-3)","1 (0-2)","0.2 (0-1)","1.2 (0-3)","1.9 (1-3)","0.3 (0-2)","2.2 (1-4)"
"Jönköping","2.2 (0-6)","3.9 (1-8)","6.1 (2-11)","0.6 (0-3)","2.3 (1-5)","2.9 (1-6)","0.4 (0-2)","0.7 (0-3)","1 (0-3)","0.4 (0-2)","0.2 (0-1)","0.6 (0-2)","0.7 (0-3)","0.7 (0-3)","1.4 (0-4)","0.2 (0-1)","1.3 (0-3)","1.4 (0-3)","1 (0-3)","2 (1-4)","2.9 (1-6)","4.9 (2-8)","4.1 (2-7)","9 (6-13)","6.3 (4-9)","7.6 (5-10)","13.8 (11-17)","4.5 (2-7)","4.4 (2-7)","8.9 (6-13)"
"Kalmar","1.6 (0-5)","2.3 (0-6)","3.9 (1-8)","0.3 (0-2)","1 (0-3)","1.3 (0-4)","0.2 (0-1)","0.4 (0-2)","0.5 (0-2)","0.2 (0-1)","1 (0-2)","1.1 (0-3)","0.4 (0-2)","1.3 (1-3)","1.7 (1-4)","0.1 (0-1)","0.4 (0-1)","0.5 (0-2)","0.3 (0-2)","1.6 (1-3)","1.8 (1-4)","0.4 (0-2)","0.7 (0-3)","1.2 (0-4)","0.4 (0-2)","0.4 (0-2)","0.8 (0-3)","0.7 (0-3)","0.6 (0-2)","1.2 (0-4)"
"Kronoberg","1.4 (0-4)","3.6 (1-7)","5 (1-10)","0.4 (0-2)","1.7 (0-4)","2.1 (0-5)","0.2 (0-1)","1.4 (1-3)","1.6 (1-3)","0.3 (0-2)","0.3 (0-2)","0.6 (0-2)","0.4 (0-2)","0.4 (0-2)","0.8 (0-3)","0.1 (0-1)","0.6 (0-2)","0.7 (0-2)","0.3 (0-2)","1.6 (1-4)","2 (1-4)","0.3 (0-2)","1.7 (1-4)","2 (1-4)","1.1 (0-3)","2.1 (1-3)","3.2 (2-5)","1.7 (0-4)","3.2 (2-5)","4.9 (3-8)"
"Östergötland","2.6 (0-6)","3.3 (0-7)","5.9 (2-11)","0.8 (0-3)","1.6 (0-5)","2.4 (0-6)","0.6 (0-2)","2 (1-4)","2.6 (1-6)","1.5 (1-3)","2.2 (2-3)","3.7 (3-6)","2.3 (1-5)","1.9 (1-4)","4.2 (2-8)","6.7 (6-8)","3.3 (3-5)","10 (9-12)","5 (4-7)","3.4 (2-6)","8.4 (6-12)","5.9 (4-8)","6.2 (4-9)","12.1 (9-16)","3.6 (2-5)","6.8 (6-9)","10.4 (9-13)","6 (5-8)","4.4 (3-7)","10.4 (8-14)"
"Skåne","1.4 (0-4)","3.3 (0-7)","4.8 (1-10)","0.3 (0-2)","1.4 (0-4)","1.7 (0-5)","0.2 (0-1)","1.3 (1-3)","1.5 (1-3)","0.2 (0-2)","1.9 (1-3)","2.1 (1-4)","0.3 (0-2)","0.4 (0-2)","0.7 (0-3)","0.2 (0-1)","0.2 (0-2)","0.4 (0-2)","1.3 (1-3)","1.5 (1-3)","2.8 (2-5)","2.4 (2-4)","2.6 (2-4)","5 (4-7)","6.2 (6-7)","6.1 (6-7)","12.3 (12-14)","6.4 (6-8)","11.4 (11-13)","17.8 (17-20)"
"Södermanland","1.9 (0-5)","2.9 (0-7)","4.8 (1-9)","1.1 (0-3)","1.7 (0-5)","2.8 (0-6)","1.9 (1-4)","1.7 (1-4)","3.6 (2-6)","2.7 (2-4)","9.7 (9-11)","12.4 (11-15)","2.5 (1-5)","2.3 (1-5)","4.8 (2-8)","3.7 (3-5)","4.5 (3-6)","8.1 (6-11)","8.4 (6-11)","5.7 (3-9)","14 (10-18)","9.4 (7-12)","9.9 (7-13)","19.3 (16-24)","14.9 (13-18)","17.1 (15-20)","32 (29-36)","11.2 (10-14)","14.8 (13-17)","26 (24-29)"
